scenario,area,technology,generation_gwh,curtailed_gwh,revenue_meur,opex_meur,net_revenue_meur,capacity_factor,value_factor,revenue_per_mwh,breakeven_capex_eur_per_kw,construction_years,gross_generation_gwh,generation_twh
SMR1600-LLPS,NO5,Nuclear,11111.266,-96.66638,288.54526,293.3374,-4.792145,0.7949337959289551,1.1576802,25.968711853027344,-44.54400634765625,5,,11.111265
LMR2000-BA,NO1,Nuclear,14963.735,-4.957705,676.96545,395.0426,281.92285,0.8564409017562866,1.0945482,45.24040603637695,2096.426025390625,5,,14.963736
LMR2000-BA,NO2,Nuclear,14879.658,-169.17206,709.815,392.82297,316.99203,0.8516287803649902,1.0788107,47.70371627807617,2357.20654296875,5,,14.879658
LMR2000-BA,NO3,Nuclear,0.0,-39.846073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR2000-BA,NO4,Nuclear,0.0,-41.631275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR2000-BA,NO5,Nuclear,0.0,-109.29044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR2000-LLPS,NO1,Nuclear,14776.098,-11.09572,764.97864,390.089,374.88965,0.8457015752792358,1.1168406,51.771358489990234,2787.74267578125,5,,14.776097
LMR2000-LLPS,NO2,Nuclear,14811.311,-213.32831,757.22437,391.0186,366.20578,0.8477169871330261,1.0873241,51.12473678588867,2723.168212890625,5,,14.811311
LMR2000-LLPS,NO3,Nuclear,0.0,-80.106804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR2000-LLPS,NO4,Nuclear,0.0,-85.99332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR2000-LLPS,NO5,Nuclear,0.0,-143.48056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR3000-BA,NO1,Nuclear,21703.705,-6.294132,500.50708,572.97784,-72.470764,0.8281328082084656,1.1131245,23.06090545654297,-359.2699279785156,5,,21.703705
LMR3000-BA,NO2,Nuclear,21604.988,-287.9031,514.323,570.37164,-56.048645,0.8243661522865295,1.1047606,23.80575180053711,-277.8581237792969,5,,21.604988
LMR3000-BA,NO3,Nuclear,0.0,-49.768707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR3000-BA,NO4,Nuclear,0.0,-48.69162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR3000-BA,NO5,Nuclear,0.0,-222.20218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR3000-LLPS,NO1,Nuclear,21417.822,-11.5886545,586.0458,565.4305,20.615295,0.8172246217727661,1.1376351,27.36252784729004,102.19921875,5,,21.417822
LMR3000-LLPS,NO2,Nuclear,21533.053,-327.74002,592.07306,568.4726,23.600464,0.8216213583946228,1.1181096,27.49601173400879,116.99803924560547,5,,21.533052
LMR3000-LLPS,NO3,Nuclear,0.0,-90.12889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR3000-LLPS,NO4,Nuclear,0.0,-91.579735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR3000-LLPS,NO5,Nuclear,0.0,-263.2257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR4000-BA,NO1,Nuclear,27122.184,-9.602887,405.88135,716.02563,-310.1443,0.7761614322662354,1.1210656,14.964920997619629,-1153.142822265625,5,,27.122183
LMR4000-BA,NO2,Nuclear,26958.71,-406.32086,406.1734,711.70996,-305.53656,0.7714832425117493,1.1235119,15.066499710083008,-1136.0108642578125,5,,26.958712
LMR4000-BA,NO3,Nuclear,0.0,-55.87962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR4000-BA,NO4,Nuclear,0.0,-70.20547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR4000-BA,NO5,Nuclear,0.0,-291.41006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR4000-LLPS,NO1,Nuclear,26794.25,-17.490465,460.86868,707.36816,-246.49948,0.7667768597602844,1.151626,17.20028305053711,-916.5059814453125,5,,26.79425
LMR4000-LLPS,NO2,Nuclear,26974.148,-439.24707,461.07907,712.1175,-251.03842,0.7719250321388245,1.1429814,17.093368530273438,-933.3822021484375,5,,26.974148
LMR4000-LLPS,NO3,Nuclear,0.0,-100.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR4000-LLPS,NO4,Nuclear,0.0,-122.78987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
LMR4000-LLPS,NO5,Nuclear,0.0,-365.1531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
