plant,reservoir,area,scenario,mean_mw,max_mw,p95_mw,p99_mw,zero_fraction
mauranger,mauranger,NO5,B+,130.54163653088662,906.3690795898438,490.8271682739254,769.1347265624995,0.45727640415140414
mauranger,mauranger,NO5,N-BA,118.93671671855103,258.24188232421875,253.69161987304688,257.68865966796875,0.36457188644688643
mauranger,mauranger,NO5,N-BA+,130.70516045396516,907.232666015625,514.84912109375,856.0158081054688,0.47483592796092794
mauranger,mauranger,NO5,OWN-BA,119.17247583830894,258.24188232421875,253.8968063354492,257.6882629394531,0.36131715506715506
mauranger,mauranger,NO5,OWN-BA+,130.74984880723298,906.3394775390625,520.4935668945307,865.3773663330073,0.4812080280830281
mauranger,mauranger,NO5,OW-BA,119.52700704404684,258.24188232421875,253.8330535888672,257.6029357910156,0.3498702686202686
mauranger,mauranger,NO5,OW-BA+,130.7880262463992,908.086669921875,515.3216552734375,869.4347534179688,0.4681509462759463
nore_i,nore_1,NO1,B,110.02328096636053,203.5457305908203,203.37498474121094,203.48802825927734,0.14975579975579975
nore_i,nore_1,NO1,B+,126.99384126473322,406.99237060546875,371.31862335203436,406.6842041015625,0.15457875457875458
nore_i,nore_1,NO1,N-BA,109.48958337140685,203.5457305908203,203.37515258789062,203.4914093017578,0.15228174603174602
nore_i,nore_1,NO1,N-BA+,126.63171371885636,406.99237060546875,375.2506561279112,406.6842041015625,0.16166819291819293
nore_i,nore_1,NO1,OWN-BA,109.50295322065507,203.5457305908203,203.3750457763672,203.4912872314453,0.14315857753357752
nore_i,nore_1,NO1,OWN-BA+,126.63962691809995,406.99237060546875,375.2506561279112,406.6842041015625,0.15231608669108668
nore_i,nore_1,NO1,OW-BA,109.89425879877228,203.5457305908203,203.3750457763672,203.49588012695312,0.1348137973137973
nore_i,nore_1,NO1,OW-BA+,126.86974847325601,406.99237060546875,376.8227203368988,406.6842346191406,0.13973214285714286
nore_ii,nore_2,NO1,B,30.070308067049396,52.21641159057617,51.9999885559082,52.0000114440918,0.0011561355311355311
nore_ii,nore_2,NO1,B+,35.39680312078699,104.0000228881836,103.99986267089844,103.99996948242188,0.0011942918192918194
nore_ii,nore_2,NO1,N-BA,29.942925244608755,52.028202056884766,51.9999885559082,52.00000762939453,0.0017818986568986569
nore_ii,nore_2,NO1,N-BA+,35.289741730312215,104.0000228881836,103.99987030029297,103.99996948242188,0.0018696581196581197
nore_ii,nore_2,NO1,OWN-BA,29.930664345017,52.0439453125,51.9999885559082,52.00000762939453,0.0012095543345543346
nore_ii,nore_2,NO1,OWN-BA+,35.2853661727034,104.0000228881836,103.99987030029297,103.99996948242188,0.001865842490842491
nore_ii,nore_2,NO1,OW-BA,29.991980063293596,52.00681686401367,51.9999885559082,52.0000114440918,0.001823870573870574
nore_ii,nore_2,NO1,OW-BA+,35.35315052208821,104.0000228881836,103.99986267089844,103.99996948242188,0.0018505799755799755
novle,novle,NO2,B,25.880603810714348,40.65584945678711,40.08865737915039,40.40538024902344,0.23677884615384615
novle,novle,NO2,B+,26.64056209860517,81.1554946899414,78.88255310058594,79.83808135986328,0.3907547313797314
novle,novle,NO2,N-BA,25.794071715234104,40.61054229736328,40.026039123535156,40.34529495239258,0.23856074481074482
novle,novle,NO2,N-BA+,26.599226296519337,81.0219955444336,78.69142951965333,79.74150848388672,0.3942918192918193
novle,novle,NO2,OWN-BA,25.737443369226654,40.61343765258789,40.03054428100586,40.36061477661133,0.2519459706959707
novle,novle,NO2,OWN-BA+,26.59726428786066,81.01241302490234,78.78506507873536,79.64472198486328,0.40206807081807083
novle,novle,NO2,OW-BA,25.58743891929038,40.83264923095703,40.056522369384766,40.38407516479492,0.25826465201465204
novle,novle,NO2,OW-BA+,26.580799006993836,80.83709716796875,78.96533241271973,80.0140609741211,0.4181089743589744
osbu,osbu,NO3,B,13.453154591237213,26.17490577697754,23.780826568603516,24.17112159729004,0.24506639194139193
osbu,osbu,NO3,B+,9.873505124988132,26.049968719482422,24.28986358642578,25.216426849365234,0.41261828449328447
osbu,osbu,NO3,N-BA,13.50520143493489,26.24028778076172,23.780805587768555,24.2576847076416,0.2600045787545788
osbu,osbu,NO3,N-BA+,9.190459879959583,26.26577377319336,24.54713068008423,25.410356521606445,0.40207188644688646
osbu,osbu,NO3,OWN-BA,13.506005223348803,26.270593643188477,23.780805587768555,24.1881160736084,0.2572840354090354
osbu,osbu,NO3,OWN-BA+,9.191160835704046,26.266632080078125,24.536312103271484,25.453140659332277,0.4018238705738706
osbu,osbu,NO3,OW-BA,13.4895337045476,26.359375,23.711444854736328,24.2352294921875,0.25257554945054944
osbu,osbu,NO3,OW-BA+,9.223165757300933,26.421772003173828,24.55311393737793,25.515396118164062,0.3958028083028083
roeldal,roeldal,NO2,B,95.51624536938965,163.22959899902344,160.0000457763672,160.70318603515625,0.20207188644688645
roeldal,roeldal,NO2,B+,98.86649198256241,321.59716796875,304.66796875,315.83380126953125,0.2796169108669109
roeldal,roeldal,NO2,N-BA,95.17948356039068,162.15634155273438,160.00003051757812,160.7732696533203,0.20789453601953603
roeldal,roeldal,NO2,N-BA+,98.92667459466449,323.9547119140625,301.0600280761719,317.05438232421875,0.29105235042735045
roeldal,roeldal,NO2,OWN-BA,94.88581232583992,162.71128845214844,160.00009155273438,161.1000518798828,0.22176053113553112
roeldal,roeldal,NO2,OWN-BA+,98.97764191191578,323.44696044921875,305.6318054199219,317.1526794433594,0.30142704517704516
roeldal,roeldal,NO2,OW-BA,94.15688727116887,163.6641387939453,160.00088500976562,161.0900421142578,0.24397893772893772
roeldal,roeldal,NO2,OW-BA+,99.36767873910756,323.4090576171875,311.5212707519531,319.28759765625,0.32803724053724054
suldal_i,suldal_1,NO2,B,122.38940923510984,183.53152465820312,183.40969848632812,183.52935791015625,0.07969703907203907
suldal_i,suldal_1,NO2,B+,126.01488972681123,367.0608215332031,360.2213134765625,364.482531738281,0.1490995115995116
suldal_i,suldal_1,NO2,N-BA,121.832680864966,183.53329467773438,183.39578247070312,183.52935791015625,0.08642399267399267
suldal_i,suldal_1,NO2,N-BA+,125.87800171765704,367.05902099609375,358.97277984619143,364.4156253051758,0.15000763125763125
suldal_i,suldal_1,NO2,OWN-BA,121.35680576153592,183.53167724609375,183.45176696777344,183.5293731689453,0.09097985347985348
