plant,reservoir,area,scenario,mean_mw,max_mw,p95_mw,p99_mw,zero_fraction
nore_i,nore_1,NO1,N-BA,108.86983275474316,203.5457305908203,203.37506103515625,203.4959716796875,0.12144383394383394
nore_i,nore_1,NO1,N-BA+,126.47529518079332,406.99237060546875,382.47337036132336,406.68438720703125,0.12717490842490842
nore_i,nore_1,NO1,OWN-BA,108.87925206240061,203.5457305908203,203.37513732910156,203.49598693847656,0.12222603785103785
nore_i,nore_1,NO1,OWN-BA+,126.5188012195594,406.99237060546875,381.70809173583075,406.68438720703125,0.1268162393162393
nore_i,nore_1,NO1,OW-BA,109.11555498058479,203.5460662841797,203.37515258789062,203.49598693847656,0.11959325396825397
nore_i,nore_1,NO1,OW-BA+,126.63816639380683,406.99237060546875,376.94772644038534,406.68438720703125,0.12761752136752136
nore_ii,nore_2,NO1,B,29.85113354503966,52.02927017211914,51.99998474121094,52.00000762939453,0.0005723443223443224
nore_ii,nore_2,NO1,B+,35.27823734343968,104.0000228881836,103.99987030029297,103.99996948242188,0.0018925518925518926
nore_ii,nore_2,NO1,N-BA,29.714855072059308,52.00032043457031,51.99998474121094,52.00000762939453,0.0012286324786324786
nore_ii,nore_2,NO1,N-BA+,35.22314688196216,104.0000228881836,103.99987030029297,103.99996948242188,0.001903998778998779
nore_ii,nore_2,NO1,OWN-BA,29.716887588294092,52.035221099853516,51.99998474121094,52.00000762939453,0.0012286324786324786
nore_ii,nore_2,NO1,OWN-BA+,35.234811781289814,104.0000228881836,103.99987030029297,103.99996948242188,0.0012438949938949938
nore_ii,nore_2,NO1,OW-BA,29.75565617368993,52.004276275634766,51.9999885559082,52.00000762939453,0.0005876068376068376
nore_ii,nore_2,NO1,OW-BA+,35.278283622041904,104.0000228881836,103.99987030029297,103.99996948242188,0.0012286324786324786
novle,novle,NO2,B,25.90832271349059,40.697505950927734,40.09223175048828,40.40974807739258,0.23187576312576313
novle,novle,NO2,B+,26.57909148012485,81.27355194091797,78.96263122558594,79.92327117919922,0.37262286324786326
novle,novle,NO2,N-BA,25.814225315876953,40.637271881103516,40.06160354614258,40.42393573760987,0.23361187423687424
novle,novle,NO2,N-BA+,26.589409683835243,81.14810943603516,78.84131622314453,79.7383804321289,0.3805631868131868
novle,novle,NO2,OWN-BA,25.772462643905254,40.60786437988281,40.07577133178711,40.382659912109375,0.24358592796092796
novle,novle,NO2,OWN-BA+,26.548194882993965,81.08123016357422,78.92167663574219,79.7783203125,0.390892094017094
novle,novle,NO2,OW-BA,25.62073435742671,40.648677825927734,40.03936004638672,40.41010284423828,0.25469703907203906
novle,novle,NO2,OW-BA+,26.54259613505794,80.95230102539062,79.0811996459961,79.8521499633789,0.41088217338217337
osbu,osbu,NO3,B,13.38063498309859,26.320392608642578,23.78082847595215,24.328205108642578,0.255406746031746
osbu,osbu,NO3,B+,9.95967338534996,26.065343856811523,24.224580764770508,25.16568946838379,0.40829899267399267
osbu,osbu,NO3,N-BA,13.521587073475258,26.336536407470703,23.675931930541992,24.167512893676758,0.2557196275946276
osbu,osbu,NO3,N-BA+,9.131463292007348,26.23102378845215,24.52741241455078,25.45277214050293,0.39918345543345546
osbu,osbu,NO3,OWN-BA,13.517118524753881,26.14905548095703,23.75885581970215,24.268720626831055,0.2544642857142857
osbu,osbu,NO3,OWN-BA+,9.149724513933403,26.360496520996094,24.534698486328125,25.428590774536133,0.3983211233211233
osbu,osbu,NO3,OW-BA,13.473160549945563,26.136743545532227,23.628711700439453,24.200908660888672,0.25362103174603173
osbu,osbu,NO3,OW-BA+,9.181350121838031,26.304197311401367,24.48198890686035,25.406312942504883,0.3919375763125763
roeldal,roeldal,NO2,B,95.6811381566801,162.46971130371094,160.0000457763672,160.57286392211915,0.18703830891330891
roeldal,roeldal,NO2,B+,98.65598213322224,322.4505310058594,305.3138427734375,315.6176452636719,0.2572229853479853
roeldal,roeldal,NO2,N-BA,95.38588989710782,162.397705078125,160.00003051757812,160.6088409423828,0.1965850122100122
roeldal,roeldal,NO2,N-BA+,98.83938440009499,326.23712158203125,303.52591094970705,316.5942141723633,0.2723290598290598
roeldal,roeldal,NO2,OWN-BA,95.06770008252268,162.40933227539062,160.00009155273438,160.88728652954103,0.21219856532356532
roeldal,roeldal,NO2,OWN-BA+,98.90392975266678,322.9458923339844,306.4535842895508,317.20513916015625,0.28949175824175827
roeldal,roeldal,NO2,OW-BA,94.35551894930431,162.92579650878906,160.0001678466797,161.07470703125,0.23170787545787547
roeldal,roeldal,NO2,OW-BA+,99.28084330209681,323.9080810546875,311.8425598144531,319.08472320556643,0.3180746336996337
suldal_i,suldal_1,NO2,B,122.67775529162263,183.5307159423828,183.36709594726562,183.52935791015625,0.0769192612942613
suldal_i,suldal_1,NO2,B+,125.9666519667178,367.05902099609375,360.3805236816406,364.58378356933594,0.1400946275946276
suldal_i,suldal_1,NO2,N-BA,122.28900479323582,183.5323944091797,183.38162231445312,183.52935791015625,0.08487103174603175
suldal_i,suldal_1,NO2,N-BA+,125.94983801809526,367.05902099609375,359.2479873657227,364.3727722167969,0.15019078144078143
suldal_i,suldal_1,NO2,OWN-BA,121.76609736029519,183.5319366455078,183.4186248779297,183.52935791015625,0.08815247252747253
suldal_i,suldal_1,NO2,OWN-BA+,125.95910742577883,367.0607604980469,360.46380615234375,364.79962158203125,0.15445283882783883
suldal_i,suldal_1,NO2,OW-BA,120.73991701862622,183.53271484375,183.5292205810547,183.52940368652344,0.0909569597069597
suldal_i,suldal_1,NO2,OW-BA+,126.01946483388647,367.06134033203125,362.09381103515625,365.5591125488281,0.1690132783882784
suldal_ii,suldal_2,NO2,B,77.12179114308671,150.26869201660156,149.65615844726562,150.26730346679688,0.02233287545787546
suldal_ii,suldal_2,NO2,B+,79.54829614231845,299.6454772949219,201.4269874572754,276.0310974121094,0.02332875457875458
suldal_ii,suldal_2,NO2,N-BA,76.98985702202586,150.26771545410156,149.51092529296875,150.26730346679688,0.021317918192918194
suldal_ii,suldal_2,NO2,N-BA+,79.51223215770501,299.6510314941406,200.8832412719724,268.6856689453125,0.02403846153846154
suldal_ii,suldal_2,NO2,OWN-BA,76.91291396665461,150.27098083496094,149.6921844482422,150.26731872558594,0.025931013431013433
suldal_ii,suldal_2,NO2,OWN-BA+,79.49019110333735,300.07928466796875,201.99176101684571,273.0845642089844,0.025976800976800978
suldal_ii,suldal_2,NO2,OW-BA,76.73073965573691,150.26893615722656,149.8640594482422,150.267333984375,0.030460164835164835
suldal_ii,suldal_2,NO2,OW-BA+,79.45005805124227,300.07928466796875,205.25653076171875,274.45074462890625,0.032371794871794875
svandalsflona,svandalsflon,NO2,B,4.290714902426856,19.93791389465332,18.146454620361265,19.482164039611806,0.430376221001221
svandalsflona,svandalsflon,NO2,B+,4.278587367731261,39.665462493896484,15.934232807159423,31.36378288269043,0.45645604395604394
svandalsflona,svandalsflon,NO2,N-BA,4.2969009031093055,19.97042465209961,17.98540496826172,19.491065979003906,0.4244314713064713
svandalsflona,svandalsflon,NO2,N-BA+,4.279798051648178,39.929744720458984,15.637992858886719,31.57386589050293,0.4564789377289377
svandalsflona,svandalsflon,NO2,OWN-BA,4.286939778681838,19.97151756286621,18.205984115600586,19.53466033935547,0.4425709706959707
svandalsflona,svandalsflon,NO2,OWN-BA+,4.269951164919861,39.8079948425293,15.992094039916992,35.41444396972656,0.4750572344322344
svandalsflona,svandalsflon,NO2,OW-BA,4.2688780453610065,19.974706649780273,18.820335388183594,19.555068969726562,0.4826961233211233
svandalsflona,svandalsflon,NO2,OW-BA+,4.256920638154448,39.92082977294922,17.918264389038086,37.27931213378906,0.5088904151404151
svean,svean,NO3,B,11.480136090160435,27.0000057220459,12.70342545509238,26.99998664855957,0.0
svean,svean,NO3,B+,11.84785155219109,36.00001907348633,14.39999771118164,35.99997329711914,0.0
svean,svean,NO3,N-BA,11.210796034645394,27.000009536743164,10.800015449523926,26.99997901916504,0.0
svean,svean,NO3,N-BA+,11.448901873521315,36.000022888183594,14.128456783294112,35.99995040893555,0.0
svean,svean,NO3,OWN-BA,11.214737332700519,27.000017166137695,10.800015449523926,26.99997901916504,0.0
svean,svean,NO3,OWN-BA+,11.44580997756622,36.000003814697266,13.929481124877334,35.99995040893555,0.0
svean,svean,NO3,OW-BA,11.194921353455719,27.00006103515625,10.80001449584961,26.99997901916504,0.0
svean,svean,NO3,OW-BA+,11.380816411000469,36.0,11.399580812453213,35.755836486816406,0.0
