Scenario,Series Type,Area,Area Order,Scenario Order,"No Uprate Mean (€/MWh, vol-weighted)","Uprate Mean (€/MWh, vol-weighted)",Delta Mean No Uprate - Uprate (€/MWh),No Uprate Std Dev (€/MWh),Uprate Std Dev (€/MWh),Delta Std Dev No Uprate - Uprate (€/MWh),Level Plotted,Delta Plotted
BA_OWN,bar,DK2,11,5,55.747646,55.55089,0.19675446,38.686523,38.610863,0.075660706,True,True
BA_OWN,bar,FI,12,5,63.43565,63.351437,0.08421326,98.63757,98.63527,0.0023040771,True,True
BA_OWN,bar,NORDIC,13,5,51.671036,50.83552,0.83551407,56.2826,54.70759,1.5750122,False,False
BA_OW,bar,NO,0,6,51.201653,49.596947,1.6047058,77.82395,75.31411,2.509842,True,True
BA_OW,bar,NO1,1,6,57.303192,56.331764,0.9714279,73.93128,73.60736,0.3239212,True,True
BA_OW,bar,NO2,2,6,50.48537,49.52272,0.9626503,29.7104,28.635317,1.0750828,True,True
BA_OW,bar,NO3,3,6,61.90849,57.321243,4.587246,121.84352,113.67015,8.17337,True,True
BA_OW,bar,NO4,4,6,23.25522,23.376081,-0.12086105,54.859966,56.885303,-2.0253372,True,True
BA_OW,bar,NO5,5,6,55.361847,54.02595,1.3358955,73.82303,73.47019,0.3528366,True,True
BA_OW,bar,SE1,6,6,15.732035,15.793482,-0.061447144,16.364752,16.604885,-0.24013329,True,True
BA_OW,bar,SE2,7,6,16.435219,16.487955,-0.052736282,16.94531,17.127865,-0.18255424,True,True
BA_OW,bar,SE3,8,6,55.60454,55.46352,0.14102173,41.902954,41.51663,0.38632584,True,True
BA_OW,bar,SE4,9,6,55.087833,54.954918,0.1329155,41.96809,41.58636,0.38172913,True,True
BA_OW,bar,DK1,10,6,62.67977,62.65636,0.023410797,35.741783,35.680786,0.06099701,True,True
BA_OW,bar,DK2,11,6,56.519608,56.454063,0.06554413,38.656002,38.597572,0.058429718,True,True
BA_OW,bar,FI,12,6,63.88964,63.841244,0.048397064,98.64184,98.62955,0.012290955,True,True
BA_OW,bar,NORDIC,13,6,53.376686,52.702038,0.6746483,63.781677,62.45936,1.322319,False,False
