area,mean_price_eur_mwh,load_weighted_price_eur_mwh,price_std_eur_mwh,price_load_sum,price_sq_load_sum,load_twh,generation_twh,consumer_surplus_meur,producer_surplus_meur,societal_surplus_meur,scenario,scenario_folder,load_mode,case,hydro_uprated,is_baseline,baseline,delta_mean_price_eur_mwh,delta_pct_mean_price_eur_mwh,delta_price_std_eur_mwh,delta_pct_price_std_eur_mwh,delta_load_twh,delta_pct_load_twh,delta_generation_twh,delta_pct_generation_twh,delta_consumer_surplus_meur,delta_pct_consumer_surplus_meur,delta_producer_surplus_meur,delta_pct_producer_surplus_meur,delta_societal_surplus_meur,delta_pct_societal_surplus_meur
NO2,25.478647449106933,55.802945289796305,30.083950787836823,2338905450.4174647,168451519714.09763,41.91365595975341,58.802656488699505,39574.75050933595,2543.35623009852,42118.10673943447,N-LLPS,LLPS_N_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,LLPS,N,False,False,B23-LLPS,-9.823849493199877,-27.827633578595094,2.1588419477605143,7.730827335799974,0.0,0.0,6.949524035154624,13.402322494944139,801.7045504037087,2.0676852451903334,-884.773542465101,-25.809219637664135,-83.06899206138769,-0.19684046859242144
NO2,25.00895699936757,54.931591277990314,31.529711501601465,2302383818.1474776,168140924002.1977,41.91365595975341,51.783171451817125,39611.27214160594,2322.099699772631,41933.371841378575,OWN-LLPS,LLPS_OWN_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,LLPS,OWN,False,False,B23-LLPS,-10.29353994293924,-29.158107313942924,3.6046026615251563,12.908106042373104,0.0,0.0,-0.06996100172775499,-0.1349214568482105,838.2261826737013,2.1618785987604285,-1106.0300727909898,-32.26336650505151,-267.803890117284,-0.634588694450555
NO2,23.68140293539976,52.63081974553907,33.138674818640176,2205950071.6943216,162129354290.49966,41.91365595975341,51.61877552679726,39707.7058880591,2248.8262278905604,41956.53211594966,OW-LLPS,LLPS_OW_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,LLPS,OW,False,False,B23-LLPS,-11.62109400690705,-32.91861769975889,5.213565978563867,18.669814353889628,0.0,0.0,-0.23435692674762265,-0.45196291074137623,934.6599291268576,2.410591961531301,-1179.3035446730605,-34.40078476933371,-244.64361554619973,-0.5797080562464417
NO2,24.474382950909952,52.33239652472282,27.666806355871156,2193447287.797874,146871328707.62463,41.913755789143885,58.90826372748793,39720.308501346,2354.833464645132,42075.14196599113,N-BA+,BA_N_UPRATE_TrueHYD_FalseFF_BALOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,BA,N,True,False,B23-BA,-10.890449994880836,-30.794574971057635,-1.4706395463575603,-5.047249341250845,0.0,0.0,7.068029686008195,13.63425496951411,918.9715802686987,2.3684018469206496,-1054.3478567923025,-30.92671692650689,-135.37627652360243,-0.3207169259230996
NO2,23.895284446711365,51.24187994835907,28.501860553389047,2147739642.332151,144103110216.0207,41.913755789143885,51.90331195377498,39766.01614681173,2143.0510829402747,41909.06722975201,OWN-BA+,BA_OWN_UPRATE_TrueHYD_FalseFF_BALOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,BA,OWN,True,False,B23-BA,-11.469548499079423,-32.43207317467213,-0.635585348839669,-2.1813351484971895,0.0,0.0,0.06307791229524895,0.12167752222101744,964.6792257344277,2.4862009979104704,-1266.13023849716,-37.13883537186909,-301.4510127627291,-0.7141608900198374
NO2,22.881401455629234,49.522714633551814,29.564958270913866,2075682967.1661527,139429714147.62473,41.913755789143885,51.73083498586621,39838.07282197773,2105.569833414448,41943.64265539218,OW-BA+,BA_OW_UPRATE_TrueHYD_FalseFF_BALOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,BA,OW,True,False,B23-BA,-12.483431490161554,-35.29899747949287,0.4275123686851501,1.4672266406591588,0.0,0.0,-0.10939905561352248,-0.2110311761439721,1036.7359009004285,2.6719076793904555,-1303.6114880229866,-38.23825620026971,-266.8755871225585,-0.6322490180984309
NO2,25.240908110273775,55.08316450157477,30.29785180781315,2308736806.0935073,165647581535.95096,41.91365595975341,58.896311770789865,39604.91915365991,2493.0444924888084,42097.96364614872,N-LLPS+,LLPS_N_UPRATE_TrueHYD_FalseFF_LLPSLOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,LLPS,N,True,False,B23-LLPS,-10.061588832033035,-28.501068489507162,2.3727429677368406,8.496808307266589,0.0,0.0,7.043179317244984,13.58293893537667,831.8731947276683,2.145493535918675,-935.0852800748125,-27.276834370699387,-103.21208534714242,-0.2445715873032241
NO2,24.48391524632195,53.716624780693664,31.68054612972076,2251460130.377159,163007773360.74335,41.91365595975341,51.901290201976494,39662.19582937626,2254.6860828087188,41916.881912184974,OWN-LLPS+,LLPS_OWN_UPRATE_TrueHYD_FalseFF_LLPSLOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,LLPS,OWN,True,False,B23-LLPS,-10.81858169598486,-30.64537251760167,3.7554372896444512,13.448245846243186,0.0,0.0,0.048157748431613356,0.09287336396650249,889.1498704440164,2.293216456055036,-1173.4436897549022,-34.229850315070735,-284.29381931088574,-0.6736632673925947
NO2,23.32328994466315,51.62701934210805,32.372580935159455,2163877126.932652,155639366962.67886,41.91365595975341,51.73195532002211,39749.77883282077,2196.1115486142376,41945.890381435005,OW-LLPS+,LLPS_OW_UPRATE_TrueHYD_FalseFF_LLPSLOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,LLPS,OW,True,False,B23-LLPS,-11.979206997643661,-33.93303033839422,4.447472095083146,15.926427075193425,0.0,0.0,-0.12117713352277093,-0.23369298591812807,976.7328738885262,2.5191027677399016,-1232.0182239493834,-35.93849433033734,-255.2853500608544,-0.6049247340526774
NO3,32.52196120200887,78.96891324547371,153.2880138568982,2607044484.0745864,981602052978.5027,33.013554029427084,26.226318020272384,30406.509545352495,1376.8520117419298,31783.361557094424,B23-BA,BASELINE_23TWh_BA_FalseHYD_FalseFF_BALOAD_22.91TWH_NoneNUKE_NoneOFF,BA,BASELINE_23TWh,False,True,B23-BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
